,0
0,"This wasn't Eminem. 
This wasn't Slim. 

This was Marshall"
1,I’m not acoustic. I’m guitarded.
2,Thank you for watching. Which Superman is better?
3,The fact that they do all this for their name on a  tinfoil ball
4,Just tell me one song better than this in the world at the moment.
5,How on earth is it cheating when jake hinself said that they weren't dating
6,Who comes back and watches the old vlogs 😔
7,"i got zero zero zero zero zero zero zero zero (ay) in my bank account (ay)
Edit : 1k likes..."
8,"Sprechen Sie Deutsch? Abonniert - http://bit.ly/2wo0oOR 😉
If you like the video - don't forget to share it with your friends! We are really appreciate your support.
More ideas: https://youtu.be/W5p2ndS34vA?list=PLy0LaulZe0vSzNLVwlQZVJszbLCsIwl_C
★ Let's be friends: 
Facebook | https://www.facebook.com/troomhands 
Pinterest | https://www.pinterest.com/troomtroom 
Instagram | https://www.instagram.com/troomtroom/"
9,这部剧最大的成功之处，就是反映了普通人最真实的最自然的想法和心态。
10,Thanks for all the love! Watch more videos by Mankirt Aulakh. Click here right now - https://bit.ly/2KeV2eG
11,"Leave a comment in the first 30 minutes for a CHANCE at a SHOUTOUT! Stick around to the end of the episode to see what we mean!
Thanks for watching! New videos at 2pm PT every day of the week!
Be part of the FBE Family! Subscribe, then hit the 🔔  & check the box.
Notification Squad: We respond to comments the first 30 minutes a video is uploaded, so be sure to turn on notifications and come say hi sometime!
-FBE Team"
12,"Now we know why Mike isn't making anymore outsmarted videos, because he is a MI6 agent now.😶😶"
13,Nelkboys merch. Ordered. Time to rep the boys.
14,"For those of you who're wondering, he said “You are the Moon of my Life,” to the lady and “The rain will fall on your rotting skin until nothing is left of you but bones” for Grant.
I just don't know her name"
15,I wanna hear more about Ashley trying to fight people
16,shukar aa mere te wi gaana baneya
17,They're making consuming ice cream way too complicated just give me a spoon
18,I love how all the comments are about actually liking Nickelback
19,Worse than It's Everyday bro.
