,Title,Comments
0,Eminem - Walk On Water (Audio) ft. Beyoncé - YouTube,"This wasn't Eminem. 
This wasn't Slim. 

This was Marshall"
1,PLUSH - Bad Unboxing Fan Mail - YouTube,I’m not acoustic. I’m guitarded.
2,"Superman vs Superman | Rudy Mancuso, King Bach & Lele Pons - YouTube",Thank you for watching. Which Superman is better?
3,I Dare You: GOING BALD!? - YouTube,I love how it takes forever for people to notice Derek's hair
4,Ed Sheeran - Perfect (Official Music Video) - YouTube,"🇧🇷 Da um like quem é apaixonado por essa música 👍


❄❄❄❄❄❄❄❄
⛷⛷⛷⛷⛷⛷⛷⛷
    ☃️Feliz Natal🎄"
5,Jake Paul Says Alissa Violet CHEATED with LOGAN PAUL! #DramaAlert Team 10 vs  Martinez Twins! - YouTube,If I was Alissa Violet I’d probably cheat on Jake too
6,Vanoss Superhero School - New Students - YouTube,vanoss superhero school will be accepting more applications soon
7,WE WANT TO TALK ABOUT OUR MARRIAGE - YouTube,I'd be interested because I'd love to see a different side of Candice. She seems like an extremely sharp and smart woman.
8,THE LOGANG MADE HISTORY. LOL. AGAIN. - YouTube,Who comes back and watches the old vlogs 😔
9,21 Savage - Bank Account (Official Music Video) - YouTube,I feel like i’m watching a netflix trailer and i forgot to turn off my music
10,12 Weird Ways To Sneak Food Into Class / Back To School Pranks - YouTube,"Sprechen Sie Deutsch? Abonniert - http://bit.ly/2wo0oOR 😉
If you like the video - don't forget to share it with your friends! We are really appreciate your support.
More ideas: https://youtu.be/W5p2ndS34vA?list=PLy0LaulZe0vSzNLVwlQZVJszbLCsIwl_C
★ Let's be friends: 
Facebook | https://www.facebook.com/troomhands 
Pinterest | https://www.pinterest.com/troomtroom 
Instagram | https://www.instagram.com/troomtroom/"
11,猎场 | Game Of Hunting 12【TV版】（胡歌、張嘉譯、祖峰等主演） - YouTube,这部剧最大的成功之处，就是反映了普通人最真实的最自然的想法和心态。
12,Daang (Full Video) | Mankirt Aulakh | MixSingh | Deep Kahlon | Sukh Sanghera | Latest Punjabi Songs - YouTube,Thanks for all the love! Watch more videos by Mankirt Aulakh. Click here right now - https://bit.ly/2KeV2eG
13,YOUTUBERS REACT TO TOP 10 TWITTER ACCOUNTS OF ALL TIME - YouTube,"Leave a comment in the first 30 minutes for a CHANCE at a SHOUTOUT! Stick around to the end of the episode to see what we mean!
Thanks for watching! New videos at 2pm PT every day of the week!
Be part of the FBE Family! Subscribe, then hit the 🔔  & check the box.
Notification Squad: We respond to comments the first 30 minutes a video is uploaded, so be sure to turn on notifications and come say hi sometime!
-FBE Team"
14,I Hired An MI6 Spy To Help Me Disappear - YouTube,"""He called me, an idiot""
""Pretending to be pregnant, and even harder happy.""
""Will he be jealous and decide to get pregnant himself?"""
15,Fake Pet Smart Employee Prank! - YouTube,Nelkboys merch. Ordered. Time to rep the boys.
16,Jason Momoa Wows Hugh Grant With Some Dothraki | The Graham Norton Show - YouTube,"Class Act. Didn't mock the fans, just smiled politely while everyone laughed. As ""ridiculous"" as those fans looked, alot of them do it because they are inspired by their favourite characters."
17,Rooster Teeth Animated Adventures - Drunk Baby Sitting - YouTube,I can see Miles' camp counselor days are paying off.
18,Telefoon || Babbu Maan || Promo || Full Song 15th November || Latest Punjabi Songs 2017 || Hey Yolo - YouTube,"ਚੜਦੇ ਸੂਰਜ ਨੂੰ ਕੋੲੀ ਥੰਮ ਨੀ ਸਕਦਾ..
ੳੁਸਤਾਦ #ਬੱਬੂ #ਮਾਨ  ਦੇ ਮੁਕਾਬਲੇ ਦਾ ਕੋੲੀ ਜੰਮ ਨੀ ਸਕਦਾ ।"
19,5 Ice Cream Gadgets put to the Test - YouTube,They're making consuming ice cream way too complicated just give me a spoon
20,Nickelback Lyrics: Real or Fake? - YouTube,I LOVE LINK FOR RANDOMLY SINGING FALL OUT BOY AT THE END
21,Smart Girl Shows How to Build Candy Dispenser - YouTube,"If the people at my school came up to me and asked for candy like that to me, I would say, “ eff off get your own candy.”"
22,Jake Paul - Saturday Night (Song) feat. Nick Crompton & Chad Tepper (Official Music Video) - YouTube,"Didn’t he say that girl Mackenzie in a little part , RIP"
23,DO COLLEGE KIDS KNOW 80s MUSIC? #8 (REACT: Do They Know It?) - YouTube,"Hey FBE Family! New podcast episode where we talk about the behind the scenes of the company and answers your questions! ""FBE PODCAST | Producing React, Top 10s, New Pilots (Ep #22)"" https://goo.gl/MHA2iq
Not seeing your favorite 80s music artist? We likely featured them in another episode of the show! Click to watch! https://goo.gl/uAVnoI
Thanks for watching! New videos at 12pm PT every day of the week!
Be part of the FBE Family! Subscribe, then hit the 🔔  & check the box.
Notification Squad: We respond to comments the first 30 minutes a video is uploaded, so be sure to turn on notifications and come say hi sometime!
Thank you for supporting us all & our company! You’re all amazing!
- FBE Team"
24,WRESTLING NIGAHIGA!!! (WILD CARD) - YouTube,"The ""I look like a cinnamon roll but I can actually kill you"" squad
Ryan, Sean

The ""I look like I can kill you but am actually a cinnamon roll""squad
Derrick, Will, daina

The ""I look like a cinnamon roll and really am a cinnamon"" squad
Paco, Greg"
25,Throwing Things Into A Fan! - YouTube,"We hope you all enjoyed the video! Who do you think REKT stuff the best? Check out our upcoming videos on Tuesdays, Thursdays, and Sundays at 3PM and hit Subscribe to make sure you don’t miss em’! Love you all!
-Tanner"
26,"10 FILMS que LES PARENTS CROYAIENT ÊTRE pour ENFANTS, ALORS que NON | Lama Faché - YouTube",Etes vous d'accord avec cette sélection de films ?
27,So We Started A Fire... - YouTube,Love yo faces Nation!
28,Telefoon || Babbu Maan || Promo || Full Song 15th November || Latest Punjabi Songs 2017 || Hey Yolo - YouTube,ਅਾ ਸਾਲੇ dislike ਵਾਲਿਅਾ ਨੂੰ ਕਿੰਨੀ ਵਾਰੀ ਦੱਸਿਅਾ ਕਿ ਬੱਬੂ ਮਾਨ ਦੇ ਗੀਤ ਸਿਰਫ  ੳੁਦੇ ਫੈਨਾ ਲੲੀ ਹੁੰਦੇ ਅਾ ।
29,CARPOOL KARAOKE w/ FaZe Banks!! - YouTube,LAST SONG WAS A BANGERRRR
30,Mythical Dog Party - YouTube,"""These five words in my head scream, 'Are you having fun, Rhett?'"""
31,The Try Guys Bake Bread Without A Recipe - YouTube,"Eugene: This has been my worst performance in try guys history/this is a monstrosity

Also Eugene: wins"
32,PAPY GRENIER - METAL GEAR SOLID - YouTube,"""Snake, passe moi le sel.""

""Le sel ?"""
33,急诊科医生 | Emergency Physician 25（张嘉译、王珞丹、柯蓝等主演） - YouTube,乔娜不是离过婚吗 哪有富二代妈妈喜欢离过婚的儿媳妇的 不合理
34,Barnicle: World Leaders Are Laughing At The US | Morning Joe | MSNBC - YouTube,World leaders only?... No! EVERYONE is laughing
35,Cats Hate Pregnant - Off Topic #102 - YouTube,Can’t wait to see “Jeremy’s Shitball Morning” get animated.
36,H3 Podcast #38 - Hila Klein - YouTube,I feel like Hila and Ethan would make a great couple
37,Autumn's sick... - YouTube,Excellent job with the CGI. Making little chicken boy carrying thiccc /\utumn look damn realistic.
38,He Almost Died Pier Jumping! - YouTube,"My life is brilliant, my love is pure, check out new shirts in my merch store! www.dannyduncan69.com"
39,ON VOUS DÉVOILE NOTRE VRAI SALAIRE - YouTube,Sinon une question nous brûle les papilles gustatives : Combien de petites pièces et de morceaux de papiers rectangulaires amassez vous par seconde ?
40,"Canada Soccer's Women's National Team v USA International Friendly LIVE from Avaya Stadium, San Jose - YouTube",Great... no constant Yammer from the announcers... and real crowd reaction as well as coaches giving instructions !!! The real way futbol should be listened to and watched...BRAVO !
41,HOLIDAY 2017 ⭐️ COLLECTION & SKIN FROST PALETTE REVEAL | Jeffree Star Cosmetics - YouTube,"I am a 50+ year old and I have to say that I absolutely adore you.  I am disabled and have been extremely depressed about it.  Since I started watching you, you have literally brought me back to life.  I don't have instagram or anything and am probably too dumb to figure it out, but I love watching your YouTube Videos.  I have very limited funds.  Was almost homeless with my 10 year old but I have been slowly coming out of all of this.  I can now purchase at least one of your items.  I really want one of your mirrors but I think i will settle for one of your beautiful nude type lipsticks.  I just want you to NEVER change.  You are wonderful the way you are.  You are truly a special person!! You bring joy to so many people including myself!!  I never comment on anything but you give me such hope and inspiration that I had to!! Just keep doing you!! xxxooo"
